City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,al jawf,29.5,38.75,33.63,12,0,3.72,SA,1689791142
349,zaozersk,69.4005,32.4476,11.63,92,98,5.3,RU,1689791061
350,mountain home,43.133,-115.6912,28.71,15,0,2.57,US,1689791532
351,brookings,44.3114,-96.7984,30.14,54,40,3.6,US,1689791410
352,oriximina,-1.7656,-55.8661,34.66,34,1,3.88,BR,1689791468
353,bukama,-9.2,25.85,24.67,30,73,1.64,CD,1689791533
354,mokhsogollokh,61.4681,128.9203,12.69,91,100,1.4,RU,1689791192
355,kotka,60.4664,26.9458,19.59,71,97,5.57,FI,1689791534
356,tual,-5.6667,132.75,26.27,81,21,8.44,ID,1689791016
357,mirpur sakro,24.5474,67.6277,29.38,73,100,7.03,PK,1689791016
358,monterey,36.2505,-121.2516,30.31,18,0,1.47,US,1689791406
359,madanapalle,13.55,78.5,23.62,71,100,8.52,IN,1689791246
360,plettenberg bay,-34.0527,23.3716,11.82,66,100,3.23,ZA,1689791536
